2021-02-28	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2021-02-21	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race - Citi HK Gold Cup / Queen's Silver Jubilee Cup
2021-02-14	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race - Chinese New Year
2021-02-06	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2021-01-31	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2021-01-24	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race - Centenary Sprint Cup / Stewards' Cup
2021-01-17	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2021-01-01	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race - New Year
2021-01-10	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-12-26	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-12-20	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-12-13	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race - LONGINES HKIR
2020-12-06	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-11-29	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-11-22	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-11-14	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-11-08	HV	Day	CONFIRMED	Happy Valley Racecourse, Hong Kong	HV Day Race
2020-10-24	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-10-11	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-10-18	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-10-04	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
2020-09-27	ST	Day	CONFIRMED	Sha Tin Racecourse, Sha Tin, Hong Kong	ST Day Race
